Name,Calories,Protein,Carbs,Fat
Crinkle Cut French Fries,335,2.7,29.7,24.1
Fresh Red Onion Sliced,11,0.3,2.6,0
Fresh Tomato Slice,5,0.2,1.1,0.1
Green Leaf Lettuce,5,0.3,0.7,0
Grilled Chicken Breast,122,25.7,0,2.7
Pickle Dill Sliced,5,0,1,0
Veggie Burger,140,9,23,2.5
Blue Cheese Dressing Packet,200,1,2,21
Chicken Wings Hot & Spicy,356,17.1,2.6,31.4
Chicken Wings Teriyaki,321,17.6,5.3,26.4
Fresh Carrot Sticks,23,0.5,5.4,0.1
Fresh Celery Sticks,5,0.2,0.8,0
Ranch Dressing Packet,190,1,2,20
Garlic Bread,129,2.5,16,5.8
Meatballs In Marinara Sauce,211,8.9,9.3,15.5
Mexican Tortellini Bake,264,11.3,23.5,13.4
Penne Pasta,51,1.8,10.4,0.3
Sauce Primavera Alfredo,183,4.5,7.5,15.1
"spanokopita" Greek Spinach Pie With Feta,128,3.5,7.9,9.4
Herb Tomatoes,14,0.7,3.1,0.2
Ranch Pinto Beans,99,5.6,17.6,0.4
Bagel Cinnamon Raisin,291,10,61.2,1
Bagel Plain,281,10,58.2,1
Light Cream Cheese Cup,22,3.3,1.6,0.2
Chocolate Chip Cookie,160,2,23,8
Rice Krispy Treats,136,0.7,24.9,3.8
Sweet Duchess Rolls,120,4,21,2
Whole Wheat Chocolate & Pumpkin Bar,330,3.7,46.5,16.7
Chunky Chili,271,17.7,16.1,14.1
Salmon With Dry Rub Extraordinaire,189,23.2,2.1,10.1
Sour Cream Cornbread,171,2.4,12,12
Oven Roasted Tiny Whole Potatoes,134,2.3,19.9,6.4
Yellow Squash Casserole,79,2.1,9.5,4
Almond Milk Vanilla,80,1,13,2.5
Dasani Water 16.9oz Bottle,0,0,0,0
Milk 2% Half Pint (8oz),120,8,12,5
Milk Chocolate Half Pint (8oz),0,0,0,0
Milk Skim Half Pint (8oz),80,8,12,0
Milk Whole Half Pint (8oz),150,8,12,8
Minute Maid Apple Juice,157,0,40.1,0
Minute Maid Orange Juice,157,2.9,38.5,0
Soda Coca - Cola 12oz Bottle,0,0,0,0
Soda Diet Coca - Cola 12oz Bottle,0,0,0,0
Soda Sprite 12oz Bottle,0,0,0,0
Soy Milk Chocolate,170,8,25,4.5
